timestamp,year,month,day,hour,weekday,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed,precipitation,season,is_weekend,time_of_day,aqi_lag_1,co_lag_1,no2_lag_1,pm2_5_lag_1,pm10_lag_1,aqi_rolling_std,aqi_rolling_min,aqi_rolling_max,co_rolling_avg,co_rolling_std,no2_rolling_avg,no2_rolling_std,pm2_5_rolling_avg,pm2_5_rolling_std,pm10_rolling_avg,pm10_rolling_std,co_change_rate,no2_change_rate,pm2_5_change_rate,pm10_change_rate,temperature_change_rate,humidity_change_rate,wind_speed_change_rate,temp_humidity_interaction,wind_pm2_5_interaction,cumulative_precipitation,cumulative_co,cumulative_no2,cumulative_pm2_5,cumulative_pm10,high_pollution_alert,rain_alert,temperature_squared,humidity_squared
1706047200,2024,1,23,22,1,5,6729.13,63.48,128.87,0.0,55.31,444.07,561.59,90.18,22.4,41,16.2,0.0,winter,0,evening,5.0,11108.4,189.19,671.67,829.8,,,,,,,,,,,,-4379.2699999999995,-60.31999999999999,-227.59999999999997,-268.2099999999999,0.0,0.0,0.0,918.4,7193.933999999999,,,,,,0,0,501.75999999999993,1681
1706050800,2024,1,23,23,1,5,4325.87,28.61,86.37,0.01,39.1,321.91,419.82,59.78,22.4,41,16.2,0.0,winter,0,evening,5.0,6729.13,128.87,444.07,561.59,,,,,,,,,,,,-2403.26,-42.5,-122.15999999999997,-141.77000000000004,0.0,0.0,0.0,918.4,5214.942,,,,,,0,0,501.75999999999993,1681
1706054400,2024,1,24,0,2,5,3364.56,13.52,69.23,0.2,30.99,280.79,375.42,42.56,22.4,41,16.2,0.0,winter,0,night,5.0,4325.87,86.37,321.91,419.82,,,,,,,,,,,,-961.31,-17.14,-41.120000000000005,-44.39999999999998,0.0,0.0,0.0,918.4,4548.798,,,,,,0,0,501.75999999999993,1681
1706058000,2024,1,24,1,2,5,3017.43,7.71,65.12,0.84,26.7,267.81,364.77,32.93,21.8,37,13.7,0.0,winter,0,night,5.0,3364.56,69.23,280.79,375.42,,,,,,,,,,,,-347.1300000000001,-4.109999999999999,-12.980000000000018,-10.650000000000034,-0.5999999999999979,-4.0,-2.5,806.6,3668.997,,,,,,0,0,475.24,1369
1706061600,2024,1,24,2,2,5,3471.37,14.75,71.29,0.27,27.42,291.07,395.94,33.44,21.8,37,13.7,0.0,winter,0,night,5.0,3017.43,65.12,267.81,364.77,,,,,,,,,,,,453.94000000000005,6.170000000000002,23.25999999999999,31.170000000000016,0.0,0.0,0.0,806.6,3987.6589999999997,,,,,,0,0,475.24,1369
1706065200,2024,1,24,3,2,5,5767.82,64.37,91.85,0.08,36.72,411.85,541.39,51.68,21.8,37,13.7,0.0,winter,0,night,5.0,3471.37,71.29,291.07,395.94,,,,,,,,,,,,2296.45,20.559999999999988,120.78000000000003,145.45,0.0,0.0,0.0,806.6,5642.345,,,,,,0,0,475.24,1369
1706068800,2024,1,24,4,2,5,8651.73,146.63,115.16,2.26,46.73,533.41,703.46,69.92,21.8,37,13.7,0.0,winter,0,night,5.0,5767.82,91.85,411.85,541.39,,,,,,,,,,,,2883.91,23.310000000000002,121.55999999999995,162.07000000000005,0.0,0.0,0.0,806.6,7307.716999999999,,,,,,0,0,475.24,1369
1706072400,2024,1,24,5,2,5,9292.6,166.3,131.61,8.14,49.59,540.78,750.88,82.08,21.8,37,13.7,0.0,winter,0,night,5.0,8651.73,115.16,533.41,703.46,,,,,,,,,,,,640.8700000000008,16.450000000000017,7.3700000000000045,47.41999999999996,0.0,0.0,0.0,806.6,7408.686,,,,,,0,0,475.24,1369
1706076000,2024,1,24,6,2,5,7476.81,106.39,143.95,22.89,46.73,472.01,692.38,79.04,21.8,37,13.7,0.0,winter,0,morning,5.0,9292.6,131.61,540.78,750.88,,,,,,,,,,,,-1815.79,12.339999999999975,-68.76999999999998,-58.5,0.0,0.0,0.0,806.6,6466.536999999999,,,,,,0,0,475.24,1369
1706079600,2024,1,24,7,2,5,2323.15,16.32,70.6,83.68,81.06,228.3,355.54,22.29,21.8,37,13.7,0.0,winter,0,morning,5.0,7476.81,143.95,472.01,692.38,,,,,,,,,,,,-5153.66,-73.35,-243.70999999999998,-336.84,0.0,0.0,0.0,806.6,3127.71,,,,,,0,0,475.24,1369
1706083200,2024,1,24,8,2,5,1615.52,9.28,51.41,111.58,84.88,200.14,312.49,14.31,21.8,37,13.7,0.0,winter,0,morning,5.0,2323.15,70.6,228.3,355.54,,,,,,,,,,,,-707.6300000000001,-19.189999999999998,-28.160000000000025,-43.05000000000001,0.0,0.0,0.0,806.6,2741.9179999999997,,,,,,0,0,475.24,1369
1706086800,2024,1,24,9,2,5,1361.85,6.31,42.16,131.61,75.34,186.77,292.14,10.64,21.8,37,13.7,0.0,winter,0,morning,5.0,1615.52,51.41,200.14,312.49,,,,,,,,,,,,-253.67000000000007,-9.25,-13.369999999999976,-20.350000000000023,0.0,0.0,0.0,806.6,2558.749,,,,,,0,0,475.24,1369
1706090400,2024,1,24,10,2,5,1054.76,3.91,32.22,144.48,54.84,156.81,246.87,6.33,21.8,37,13.7,0.0,winter,0,morning,5.0,1361.85,42.16,186.77,292.14,,,,,,,,,,,,-307.0899999999999,-9.939999999999998,-29.960000000000008,-45.26999999999998,0.0,0.0,0.0,806.6,2148.297,,,,,,0,0,475.24,1369
1706094000,2024,1,24,11,2,5,961.3,2.82,29.47,145.91,35.29,136.8,216.43,5.76,21.8,37,13.7,0.0,winter,0,morning,5.0,1054.76,32.22,156.81,246.87,0.0,5.0,5.0,4949.49,4000.141771351741,96.55,52.868231687272555,334.255,210.50384920574442,452.9375,249.05295129751025,-93.46000000000004,-2.75,-20.00999999999999,-30.439999999999998,0.0,0.0,0.0,806.6,1874.16,0.0,118787.76,2317.2,8022.12,10870.5,0,0,475.24,1369
1706097600,2024,1,24,12,2,5,934.6,1.84,30.85,135.9,26.46,122.39,194.85,5.89,21.8,37,13.7,0.0,winter,0,afternoon,5.0,961.3,29.47,136.8,216.43,0.0,5.0,5.0,4891.63375,4049.516503676235,94.69375000000001,54.40293301016679,328.91291666666666,214.31150965215113,446.9804166666667,253.5945928733526,-26.699999999999932,1.3800000000000026,-14.41000000000001,-21.580000000000013,0.0,0.0,0.0,806.6,1676.743,0.0,117399.21,2272.65,7893.91,10727.53,0,0,475.24,1369
1706101200,2024,1,24,13,2,5,1028.06,0.58,39.76,114.44,24.08,114.38,180.61,6.71,21.8,37,13.7,0.0,winter,0,afternoon,5.0,934.6,30.85,122.39,194.85,0.0,5.0,5.0,4875.5008333333335,4064.711025890928,94.46541666666667,54.63054249897107,327.9375,215.27033575099898,445.6741666666666,254.93500066584184,93.45999999999992,8.909999999999997,-8.010000000000005,-14.23999999999998,0.0,0.0,0.0,806.6,1567.0059999999999,0.0,117012.02,2267.17,7870.5,10696.179999999998,0,0,475.24,1369
1706104800,2024,1,24,14,2,5,1068.12,0.01,42.5,97.27,22.89,110.8,173.59,7.47,21.8,37,13.7,0.0,winter,0,afternoon,5.0,1028.06,39.76,114.38,180.61,0.0,5.0,5.0,4864.931250000001,4074.671224874482,93.92291666666667,55.09675588012866,328.7295833333333,214.39685835788706,446.1429166666666,254.4011660227443,40.059999999999945,2.740000000000002,-3.5799999999999983,-7.02000000000001,0.0,0.0,0.0,806.6,1517.9599999999998,0.0,116758.35,2254.15,7889.509999999999,10707.429999999998,0,0,475.24,1369
1706108400,2024,1,24,15,2,5,1001.36,0.0,35.64,100.14,20.5,106.69,165.59,8.36,21.8,37,13.7,0.0,winter,0,afternoon,5.0,1068.12,42.5,110.8,173.59,0.0,5.0,5.0,4849.910833333333,4088.786034565779,92.83750000000002,56.00841165474125,330.03125,212.88174521596645,447.12249999999995,253.22198347540328,-66.75999999999988,-6.859999999999999,-4.109999999999999,-8.0,0.0,0.0,0.0,806.6,1461.6529999999998,0.0,116397.86,2228.1000000000004,7920.75,10730.939999999999,0,0,475.24,1369
1706112000,2024,1,24,16,2,5,1441.96,0.0,50.72,80.11,20.27,129.96,194.6,16.97,21.8,37,13.7,0.0,winter,0,afternoon,5.0,1001.36,35.64,106.69,165.59,0.0,5.0,5.0,4817.6449999999995,4113.452934240126,91.18083333333334,56.6653513423646,330.9008333333333,211.98071919945653,447.73749999999995,252.56167372932208,440.6,15.079999999999998,23.27000000000001,29.00999999999999,0.0,0.0,0.0,806.6,1780.452,0.0,115623.48,2188.34,7941.62,10745.699999999999,0,0,475.24,1369
1706115600,2024,1,24,17,2,5,1895.9,0.0,65.12,57.22,20.5,155.62,226.77,25.33,21.8,37,13.7,0.0,winter,0,afternoon,5.0,1441.96,50.72,129.96,194.6,0.0,5.0,5.0,4723.0720833333335,4154.9772429565455,89.2675,56.74084766266944,328.705,213.57267082129007,444.88916666666665,254.733710302529,453.94000000000005,14.400000000000006,25.659999999999997,32.170000000000016,0.0,0.0,0.0,806.6,2131.994,0.0,113353.73,2142.42,7888.92,10677.34,0,0,475.24,1369
1706119200,2024,1,24,18,2,5,2082.82,0.0,69.23,50.07,19.79,170.14,243.47,28.88,21.8,37,13.7,0.0,winter,0,evening,5.0,1895.9,65.12,155.62,226.77,0.0,5.0,5.0,4471.619583333333,4123.0967307705905,86.32583333333334,55.82826951944893,317.4766666666667,214.56938498074345,431.6454166666667,256.67244128044274,186.92000000000007,4.109999999999999,14.519999999999982,16.69999999999999,0.0,0.0,0.0,806.6,2330.9179999999997,0.0,107318.87,2071.82,7619.4400000000005,10359.49,0,0,475.24,1369
1706122800,2024,1,24,19,2,5,2082.82,0.0,69.23,48.64,17.4,165.58,237.02,25.33,21.8,37,13.7,0.0,winter,0,evening,5.0,2082.82,69.23,170.14,243.47,0.0,5.0,5.0,4015.4449999999997,3720.9584209062386,80.985,50.6283508821241,293.65375,196.9435480319501,403.69374999999997,238.43736721689854,0.0,0.0,-4.559999999999974,-6.449999999999989,0.0,0.0,0.0,806.6,2268.446,0.0,96370.68,1943.6399999999999,7047.6900000000005,9688.65,0,0,475.24,1369
1706126400,2024,1,24,20,2,5,2002.72,0.0,68.55,46.49,14.66,155.81,221.83,18.24,21.8,37,13.7,0.0,winter,0,evening,5.0,2082.82,69.23,165.58,237.02,0.0,5.0,5.0,3502.5274999999997,3022.739752334182,74.58749999999999,40.76231425034006,265.6483333333333,162.42875727039777,370.71875,202.48974901187304,-80.10000000000014,-0.6800000000000068,-9.77000000000001,-15.189999999999998,0.0,0.0,0.0,806.6,2134.5969999999998,0.0,84060.65999999999,1790.1,6375.5599999999995,8897.25,0,0,475.24,1369
1706130000,2024,1,24,21,2,5,2189.64,0.0,69.23,42.2,14.9,165.59,228.81,16.97,21.8,37,13.7,0.0,winter,0,evening,5.0,2002.72,68.55,155.81,221.83,0.0,5.0,5.0,3130.9125,2559.806473169494,69.58916666666666,32.645256518955456,244.56166666666664,138.51665467801482,345.6775,179.0532132283343,186.91999999999985,0.6800000000000068,9.780000000000001,6.97999999999999,0.0,0.0,0.0,806.6,2268.583,0.0,75141.9,1670.1399999999999,5869.48,8296.26,0,0,475.24,1369
1706133600,2024,1,24,22,2,5,2456.67,0.0,70.6,39.7,16.45,189.56,252.23,18.49,21.8,37,13.7,0.0,winter,0,evening,5.0,2189.64,69.23,165.59,228.81,0.0,5.0,5.0,2952.8933333333334,2444.6646888820305,67.16125000000001,30.113353720278425,233.95708333333334,132.1758543850863,332.78749999999997,173.89499580894025,267.0300000000002,1.3699999999999903,23.97,23.419999999999987,0.0,0.0,0.0,806.6,2596.9719999999998,0.0,70869.44,1611.8700000000001,5614.97,7986.9,0,0,475.24,1369
1706137200,2024,1,24,23,2,5,2777.1,0.0,74.71,32.19,19.31,221.27,285.09,21.79,21.8,37,13.7,0.0,winter,0,evening,5.0,2456.67,70.6,189.56,252.23,0.0,5.0,5.0,2888.36125,2427.225631820813,66.67541666666666,29.883153896055884,229.76375,130.85400569743828,327.17375,173.13626889552998,320.42999999999984,4.109999999999999,31.710000000000008,32.859999999999985,0.0,0.0,0.0,806.6,3031.399,0.0,69320.67,1600.21,5514.33,7852.17,0,0,475.24,1369
1706140800,2024,1,25,0,3,5,3284.45,0.11,84.31,18.06,23.84,263.86,331.62,26.6,21.8,37,13.7,0.0,winter,0,night,5.0,2777.1,74.71,221.27,285.09,0.0,5.0,5.0,2885.023333333333,2426.597293819274,67.30375,30.09697642079534,229.0583333333333,130.61238071906294,325.34875,172.83618638600126,507.3499999999999,9.600000000000009,42.59,46.53000000000003,0.0,0.0,0.0,806.6,3614.882,0.0,69240.56,1615.29,5497.4,7808.37,0,0,475.24,1369
1706144400,2024,1,25,1,3,5,3791.81,1.84,93.22,5.23,28.85,304.38,378.29,30.65,21.4,57,17.6,0.0,winter,0,night,5.0,3284.45,84.31,263.86,331.62,0.0,5.0,5.0,2917.289166666667,2433.572756650667,68.47458333333334,30.551472316214213,230.58208333333332,131.29565047861047,325.9120833333333,172.99222314712327,507.3600000000001,8.909999999999997,40.51999999999998,46.670000000000016,-0.40000000000000213,20.0,3.900000000000002,1219.8,5357.088000000001,0.0,70014.94,1643.39,5533.969999999999,7821.89,0,0,457.9599999999999,3249
1706148000,2024,1,25,2,3,5,4432.68,13.75,98.71,0.27,32.9,346.58,429.54,33.44,21.4,57,17.6,0.0,winter,0,night,5.0,3791.81,93.22,304.38,378.29,0.0,5.0,5.0,2957.34375,2450.9381988941254,69.61708333333333,31.167815824935488,232.89499999999998,132.88683299186826,327.3120833333333,173.71802604718926,640.8700000000003,5.489999999999995,42.19999999999999,51.25,0.0,0.0,0.0,1219.8,6099.808,0.0,70976.25,1670.81,5589.48,7855.49,0,0,457.9599999999999,3249
1706151600,2024,1,25,3,3,5,6034.85,56.33,106.93,0.1,41.01,425.45,529.71,47.12,21.4,57,17.6,0.0,winter,0,night,5.0,4432.68,98.71,346.58,429.54,0.0,5.0,5.0,2968.47,2464.818118210932,70.24541666666666,31.781474639381052,233.46166666666667,133.70957627786348,326.8254166666667,173.1075045714348,1602.17,8.220000000000013,78.87,100.17000000000002,0.0,0.0,0.0,1219.8,7487.92,0.0,71243.28,1685.8899999999999,5603.08,7843.81,0,0,457.9599999999999,3249
1706155200,2024,1,25,4,3,5,7476.81,112.65,112.41,2.37,46.73,461.85,598.7,59.28,21.4,57,17.6,0.0,winter,0,night,5.0,6034.85,106.93,425.45,529.71,0.0,5.0,5.0,2919.515,2356.311776301927,70.13083333333334,31.617033234946444,230.48,127.37801124144654,322.46041666666673,164.29396896706012,1441.96,5.47999999999999,36.400000000000034,68.99000000000001,0.0,0.0,0.0,1219.8,8128.560000000001,0.0,70068.36,1683.14,5531.5199999999995,7739.050000000001,0,0,457.9599999999999,3249
1706158800,2024,1,25,5,3,5,7370.0,121.59,122.01,8.58,48.64,436.23,605.76,66.88,21.4,57,17.6,0.0,winter,0,night,5.0,7476.81,112.41,461.85,598.7,0.0,5.0,5.0,2839.4066666666663,2154.240583840783,69.73083333333334,30.85700976195317,226.12375,117.72668323789492,316.41375,149.87901088116854,-106.8100000000004,9.600000000000009,-25.620000000000005,7.059999999999945,0.0,0.0,0.0,1219.8,7677.648000000001,0.0,68145.76,1673.54,5426.97,7593.93,0,0,457.9599999999999,3249
1706162400,2024,1,25,6,3,5,6195.07,77.78,138.46,27.89,49.59,391.48,575.07,64.34,21.4,57,17.6,0.0,winter,0,morning,5.0,7370.0,122.01,436.23,605.76,0.0,5.0,5.0,2786.0008333333335,2047.520469488205,69.50208333333333,30.298173281019178,222.76833333333332,111.39092628204064,311.52583333333337,138.57105300065447,-1174.9300000000003,16.450000000000003,-44.75,-30.68999999999994,0.0,0.0,0.0,1219.8,6890.048000000001,0.0,66864.02,1668.05,5346.44,7476.620000000001,0,0,457.9599999999999,3249
1706166000,2024,1,25,7,3,5,1415.25,7.26,42.5,117.3,47.21,138.7,214.67,11.27,21.4,57,17.6,0.0,winter,0,morning,5.0,6195.07,138.46,391.48,575.07,0.0,5.0,5.0,2748.1716666666666,2064.7581554467993,68.33125,30.79280736350755,219.03499999999997,112.69137600582822,305.65625000000006,139.60526683762473,-4779.82,-95.96000000000001,-252.78000000000003,-360.4000000000001,0.0,0.0,0.0,1219.8,2441.12,0.0,65956.12,1639.95,5256.839999999999,7335.750000000001,0,0,457.9599999999999,3249
1706169600,2024,1,25,8,3,5,1148.22,4.3,30.5,143.05,34.33,125.59,194.0,8.99,21.4,57,17.6,0.0,winter,0,morning,5.0,1415.25,42.5,138.7,214.67,0.0,5.0,5.0,2728.7008333333333,2078.0640065087296,67.46,31.578189776572298,215.92875,114.25150351260723,300.7191666666667,141.43625468176768,-267.03,-12.0,-13.109999999999985,-20.669999999999987,0.0,0.0,0.0,1219.8,2210.384,0.0,65488.82,1619.04,5182.29,7217.26,0,0,457.9599999999999,3249
1706173200,2024,1,25,9,3,5,1188.28,3.8,30.85,158.79,28.61,130.56,199.29,9.12,21.4,57,17.6,0.0,winter,0,morning,5.0,1148.22,30.5,125.59,194.0,0.0,5.0,5.0,2721.46875,2083.3231210993354,66.98875,32.05298593056839,213.58666666666667,115.44512747609147,296.8504166666667,142.942978217043,40.059999999999945,0.3500000000000014,4.969999999999999,5.289999999999992,0.0,0.0,0.0,1219.8,2297.856,0.0,65315.25,1607.73,5126.08,7124.410000000001,0,0,457.9599999999999,3249
1706176800,2024,1,25,10,3,5,1455.31,5.48,45.24,150.2,24.08,141.98,212.12,12.16,21.4,57,17.6,0.0,winter,0,morning,5.0,1188.28,30.85,130.56,199.29,0.0,5.0,5.0,2738.1583333333333,2070.9582441692937,67.53125,31.545094473247104,212.96875,115.8013746750462,295.40250000000003,143.64552866873996,267.03,14.39,11.419999999999987,12.830000000000013,0.0,0.0,0.0,1219.8,2498.848,0.0,65715.8,1620.75,5111.25,7089.660000000001,0,0,457.9599999999999,3249
1706180400,2024,1,25,11,3,5,1735.69,7.93,63.06,117.3,19.55,143.72,212.67,16.09,21.4,57,17.6,0.0,winter,0,morning,5.0,1455.31,45.24,141.98,212.12,0.0,5.0,5.0,2770.4245833333334,2047.975624965298,68.93083333333333,30.511195367497834,213.25708333333333,115.61193677949433,295.24583333333334,143.7374257008296,280.3800000000001,17.82,1.740000000000009,0.549999999999983,0.0,0.0,0.0,1219.8,2529.472,0.0,66490.19,1654.34,5118.17,7085.900000000001,0,0,457.9599999999999,3249
1706184000,2024,1,25,12,3,5,1815.8,7.6,73.34,80.82,15.97,128.79,191.73,16.97,21.4,57,17.6,0.0,winter,0,afternoon,5.0,1735.69,63.06,143.72,212.67,0.0,5.0,5.0,2807.14125,2021.3576707152174,70.70125,29.41866152964221,213.52374999999998,115.40042064622678,295.11583333333334,143.83355301593735,80.1099999999999,10.280000000000001,-14.930000000000007,-20.939999999999998,0.0,0.0,0.0,1219.8,2266.704,0.0,67371.39,1696.8300000000002,5124.57,7082.78,0,0,457.9599999999999,3249
1706187600,2024,1,25,13,3,5,2109.53,4.58,95.96,32.9,14.66,119.69,178.11,18.49,21.4,57,17.6,0.0,winter,0,afternoon,5.0,1815.8,73.34,128.79,191.73,0.0,5.0,5.0,2852.2025,1991.8114557406218,73.04291666666667,29.08351370422866,213.74499999999998,115.20700227812995,295.01166666666666,143.92096429054004,293.73000000000025,22.61999999999999,-9.099999999999994,-13.619999999999976,0.0,0.0,0.0,1219.8,2106.5440000000003,0.0,68452.86,1753.0300000000002,5129.879999999999,7080.28,0,0,457.9599999999999,3249
1706191200,2024,1,25,14,3,5,2082.82,1.87,100.08,10.46,13.59,111.15,166.85,17.99,21.4,57,17.6,0.0,winter,0,afternoon,5.0,2109.53,95.96,119.69,178.11,0.0,5.0,5.0,2894.4816666666666,1962.853895248641,75.44208333333334,28.828245355096133,213.75958333333335,115.19342589481423,294.73083333333335,144.17454849611298,-26.710000000000036,4.1200000000000045,-8.539999999999992,-11.26000000000002,0.0,0.0,0.0,1219.8,1956.2400000000002,0.0,69467.56,1810.6100000000001,5130.2300000000005,7073.54,0,0,457.9599999999999,3249
1706194800,2024,1,25,15,3,5,1522.06,0.09,63.75,45.06,11.44,94.47,146.04,14.31,21.4,57,17.6,0.0,winter,0,afternoon,5.0,2082.82,100.08,111.15,166.85,0.0,5.0,5.0,2916.1775,1943.8043054351615,76.61333333333333,27.689373988663174,213.25041666666667,115.71309544014704,293.91625,144.9888442428981,-560.7600000000002,-36.33,-16.680000000000007,-20.810000000000002,0.0,0.0,0.0,1219.8,1662.672,0.0,69988.26,1838.72,5118.01,7053.99,0,0,457.9599999999999,3249
1706198400,2024,1,25,16,3,5,1615.52,0.02,60.32,49.35,12.87,101.38,156.66,19.0,21.4,57,17.6,0.0,winter,0,afternoon,5.0,1522.06,63.75,94.47,146.04,0.0,5.0,5.0,2923.4091666666664,1938.3965432798536,77.01333333333334,27.366514712988767,212.05958333333334,116.7499433191992,292.3354166666667,146.31951009554913,93.46000000000004,-3.4299999999999997,6.909999999999997,10.620000000000005,0.0,0.0,0.0,1219.8,1784.288,0.0,70161.81999999999,1848.32,5089.43,7016.05,0,0,457.9599999999999,3249
1706202000,2024,1,25,17,3,5,2162.93,2.01,78.14,11.44,15.74,125.59,188.7,27.36,21.4,57,17.6,0.0,winter,0,afternoon,5.0,1615.52,60.32,101.38,156.66,0.0,5.0,5.0,2934.535416666667,1933.0011481338506,77.55583333333334,27.249296427561216,210.8083333333333,117.53937736726384,290.74916666666667,147.26451578018066,547.4099999999999,17.82,24.210000000000008,32.03999999999999,0.0,0.0,0.0,1219.8,2210.384,0.0,70428.85,1861.3400000000001,5059.4,6977.98,0,0,457.9599999999999,3249
1706205600,2024,1,25,18,3,5,2429.96,10.95,73.34,0.76,17.4,140.52,206.83,31.16,21.4,57,17.6,0.0,winter,0,evening,5.0,2162.93,78.14,125.59,188.7,0.0,5.0,5.0,2948.9995833333337,1927.642231814229,77.72708333333334,27.20758006259134,209.57416666666666,118.13893824522947,289.2225,147.96421936018731,267.0300000000002,-4.799999999999997,14.930000000000007,18.130000000000024,0.0,0.0,0.0,1219.8,2473.1520000000005,0.0,70775.99,1865.45,5029.78,6941.34,0,0,457.9599999999999,3249
1706209200,2024,1,25,19,3,5,2429.96,15.2,69.23,0.22,16.69,136.55,200.73,28.37,21.4,57,17.6,0.0,winter,0,evening,5.0,2429.96,73.34,140.52,206.83,0.0,5.0,5.0,2963.4637500000003,1922.1548045014335,77.72708333333334,27.20758006259134,208.36458333333334,118.75596622006961,287.7104166666667,148.70446075234256,0.0,-4.109999999999999,-3.969999999999999,-6.100000000000023,0.0,0.0,0.0,1219.8,2403.28,0.0,71123.13,1865.45,5000.75,6905.05,0,0,457.9599999999999,3249
1706212800,2024,1,25,20,3,5,2403.26,12.29,76.09,0.27,15.26,128.2,187.24,22.29,21.4,57,17.6,0.0,winter,0,evening,5.0,2429.96,69.23,136.55,200.73,0.0,5.0,5.0,2980.1529166666664,1915.1766195802372,78.04125,27.140454213061787,207.21416666666667,119.41909067090849,286.26916666666665,149.53603686407686,-26.699999999999818,6.859999999999999,-8.350000000000023,-13.48999999999998,0.0,0.0,0.0,1219.8,2256.32,0.0,71523.67,1872.99,4973.14,6870.46,0,0,457.9599999999999,3249
